Группа параметра,1 уровень,2 уровень,,id старый,id новый,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,Elevel,Isonex,,,Настройки-Параметры товаров-Отображать в навигации,Настройки-Параметры товаров-Не отображать в карточке товара,Настройки-Параметры товаров-Автоматическая сортировка
Ноль,0,,,1,1,Наименование,name,Наименование,Наименование для интернет-магазина,model,Длинное наименование [OLD_NAME],,Номенклатура,,,,,Автоматическая сортировка
Ноль,0,,,2,2,Артикул,vendorCode,Наименование артикула,Артикул,Артикул,﻿Внешний код,,Артикул,,,,,Автоматическая сортировка
Ноль,0,,,4,3,Цена,price,Цена,price,price,Цена ”Розничная цена”,,"МРЦ, руб.",,,,,Автоматическая сортировка
Ноль,0,,,5,4,Валюта,currencyId,Валюта,currencyId,currencyId,"Валюта для цены ""Розничная цена”",,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Ноль,0,,,6,5,Остаток,Stock,Доступен для заказа,,Остаток,"""Количество на складе \""\""Основной склад (с. Дмитровское)\""\""",,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Ноль,0,,,7,6,Категория,Категория,Категория,Тип (сегмент ЯМ),category,Название раздела,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Ноль,0,,,8,7,Тип товаров,,Тип товаров,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Ноль,0,,,9,8,Бренд,vendor,Бренд,vendor,Бренд,Бренд [MANUFACTURER],Бренд,Бренд,,,,,Автоматическая сортировка
Ноль,0,,,10,9,Колекция,collection_name,,Коллекция,Коллекция,,,,,,,,Автоматическая сортировка
Ноль,0,,,11,10,Серия,series_name,Серия,,,Серия [series],Серия,Коллекция (серия),,,,,Автоматическая сортировка
Ноль,0,,,12,11,Стиль,style_name,,Стиль,,,,Стиль,,,Не отображать в общем фильтре,,Автоматическая сортировка
Ноль,0,,,15,12,Страна,,,,Страна,,Страна происхождения,Страна Изготовитель,,,Не отображать в общем фильтре,,Автоматическая сортировка
Ноль,0,,,16,13,Производитель светодиода,,,,,Производитель светодиода [proizvoditel_svetodioda],,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Ноль,0,,,20,14,Краткое описание,,Краткое описание,,description,,,Описание линия для сайта,,,Не отображать в общем фильтре,,Автоматическая сортировка
Ноль,0,,,21,,Краткое описание,,Описание,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
,,,,22,,url,url,,,,,,,,,,,
,,,,,,ID артикула,,ID артикула,,,,,,,,,,
,,,,,,Ссылка на витрину,,Ссылка на витрину,,,,,,,,,,
,,,,,,Адрес видео на YouTube или Vimeo,,Адрес видео на YouTube или Vimeo,,,,,,,,,,
,,,,,,Закупочная цена,,Закупочная цена,,,,,,,,,,
,,,,,,Изображения товаров,,Изображения товаров,,,,,,,,,,
Прочие,10,,,18,548,Штрихкод,barcode,,barcode,barcode,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Основные,1,,,,15,Электронный регулятор,,,,,,Электронный регулятор,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,16,Электронное управление,,,,,,Электронное управление,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,17,Электрическое подключение через штепсельные разъемы,,,,,,Электрическое подключение через штепсельные разъемы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,18,Электрич. и механич. блокировка,,,,,,Электрич. и механич. блокировка,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,19,Экранированный корпус,,,,,,Экранированный корпус,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,20,Экранированные гнезда,,,,,,Экранированные гнезда,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,21,Центральная плата,,,,,,Центральная плата,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,22,Цветовая кодировка,,,,,,Цветовая кодировка,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,23,Цвет кабеля,,,,,,Цвет кабеля,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,24,Функциональное освещение,,,,,,Функциональное освещение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,25,Устройство подключения к шине в комплекте,,,,,,Устройство подключения к шине в комплекте,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,26,Управление/функционирование,,,,,,Управление/функционирование,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,27,Управление приложениями через Bluetooth,,,,,,Управление приложениями через Bluetooth,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,28,Ударопрочный,,,,,,Ударопрочный,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,29,Ударопрочность по стандарту EN 50102,,,,,,Ударопрочность по стандарту EN 50102,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,30,Тип устройства,,,,,,Тип устройства,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,31,Тип тепловой обратной связи,,,,,,Тип тепловой обратной связи,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,32,Тип соединителя/разъема,,,,,,Тип соединителя/разъема,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,33,Тип светильника,,,,,Тип светильника [tip_svetilnika],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,,Тип светильника,,,,,,Тип светильника,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,34,Тип розетки,,,,,,Тип розетки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,35,Тип разъема,,,,,,Тип разъема,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,36,Тип проводки,,,,,,Тип проводки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,37,Тип подсветки,,,,,,Тип подсветки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,38,Тип нагрузки,,,,,,Тип нагрузки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,34,39,Тип люстры,,,Тип люстры,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,35,40,Тип лампы,lamp_is_led,Тип лампы,Тип лампы,Совместимые типы ламп,,Тип источника света.,Тип лампы,,,,,Автоматическая сортировка
Основные,1,,,,,Тип лампы,,,,,,Тип лампы,,,,,,Автоматическая сортировка
