,id,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,SWG,Elevel,,,Настройки-Параметры товаров-Отображать в навигации
,1,Наименование,name,Наименование,Наименование для интернет-магазина,model,Длинное наименование [OLD_NAME],,,,,
,2,Артикул,vendorCode,Наименование артикула,Артикул,Артикул,﻿Внешний код,,,,,
,4,Цена,price,Цена,price,price,Цена ”Розничная цена”,,,,,
,5,Валюта,currencyId,Валюта,currencyId,currencyId,"Валюта для цены ""Розничная цена”",,,,,Не отображать в общем фильтре
,6,Остаток,Stock,Доступен для заказа,,Остаток,"""Количество на складе \""\""Основной склад (с. Дмитровское)\""\""",,,,,Не отображать в общем фильтре
,7,Категория,Категория,Категория,Тип (сегмент ЯМ),category,Название раздела,,,,,
,8,Тип товаров,,Тип товаров,,,,,,,,Не отображать в общем фильтре
,9,Бренд,vendor,Бренд,vendor,Бренд,Бренд [MANUFACTURER],,Бренд,,,
,10,Колекция,collection_name,,Коллекция,Коллекция,,,,,,
,11,Серия,series_name,Серия,,,Серия [series],,Серия,,,
,12,Стиль,style_name,,,,,,,,,Не отображать в общем фильтре
03/22/2022,13,"Срок службы, ч",,,"Срок службы, ч",,"Срок службы, ч [srok_sluzhby]",,Средн. номин. срок службы,,,Не отображать в общем фильтре
,14,"Гарантия, лет",Гарантия,,,Гарантия,Гарантия [garantiya],,,,,Не отображать в общем фильтре
,15,Страна,,,,Страна,,,Страна происхождения,,,Не отображать в общем фильтре
,16,Производитель светодиода,,,,,Производитель светодиода [proizvoditel_svetodioda],,,,,Не отображать в общем фильтре
,17,Качество,,,,,Качество [kachestvo],,,,,Не отображать в общем фильтре
,18,Штрихкод,barcode,,barcode,barcode,,,,,,Не отображать в общем фильтре
,19,Код ТНВЭД,КодТНВЭД,,,,,,,,,Не отображать в общем фильтре
,20,Краткое описание,,Краткое описание,,description,,,,,,Не отображать в общем фильтре
,21,Краткое описание,,Описание,,,,,,,,Не отображать в общем фильтре
,22,Тип монтажа,ТипМонтажаВстраиваемогоСветильника,Тип монтажа,"Монтаж, Врезной / Накладной",,Тип монтажа [mounting_type],,Тип монтажа (способ установки).,,,
,,Тип монтажа,,,,,,,Способ монтажа,,,
,23,Место установки,,,,Место установки,,,,,,Не отображать в общем фильтре
,24,Помещения,Типы помещении,,Зона размещения,,,,,,,Не отображать в общем фильтре
,25,Тип крепления к потолку,ТипПотолочногоКрепления,,"Крепление, На планку / На крюк / Пружинное",,,,,,,Не отображать в общем фильтре
,26,Форма монтажного отверстия,ФормаМонтажногоОтверстияВстраиваемогоСветильника,,,,,,,,,Не отображать в общем фильтре
,27,"Диаметр монтажного отверстия, мм",ДиаметрМонтажногоОтверстияВстраиваемогоСветильника,Монтажное отверстие,"Диаметр основания (отверстия встройки), мм",Диаметр врезного отверстия (мм),Монтажное отверстие [montazhnoe_otverstie],,,,,
,28,"Глубина монтажного отверстия, мм",ГлубинаМонтажногоОтверстияВстраиваемогоСветильника,Глубина,"Глубина (высота) основания (отверстия встройки), мм",,"Глубина встройки, мм [glubina_vstroyki]",,Высота/глубина монтажная (встраив.),,,
,,"Глубина монтажного отверстия, мм",,,,,,,Глубина установочная (встраив.),,,
,,"Глубина монтажного отверстия, мм",,,,,,,"Глубина установочная, мм",,,
,29,"Ширина монтажного отверстия, мм",ШиринаМонтажногоОтверстияВстраиваемогоСветильника,,"Ширина основания (отверстия встройки), мм",,"Ширина встройки, мм [Shirina_vstroiki]",,Ширина установочная (встраив.),,,
,30,"Длина монтажного отверстия, мм",ДлинаМонтажногоОтверстияВстраиваемогоСветильника,,"Длина основания (отверстия встройки), мм",,,,Длина установочная (встраив.),,,
