Параметр: fid,ID товара,ID варианта
MOD097PL-06CH___maytoni,277866084,486483985
CLM003___maytoni,277866101,486484007
2428___maytoni,277866108,486484018
FR5165PL-10S___maytoni,277866111,486484025
020208___maytoni,277866127,486484045
FR5053WL-02BS___maytoni,277866134,486484060
CN016___maytoni,277866141,486484067
020209___maytoni,277866146,486484078
10160___maytoni,277866151,486484084
FR5053PL-06BS___maytoni,277866160,486484098
MOD312PL-08GCH___maytoni,277866167,486484109
MOD308PL-L9GR3K___maytoni,277866193,486484164
MOD308WL-L9CH3K___maytoni,277866213,486484188
10119___maytoni,277866231,486484222
FR1006PL-12N___maytoni,277866237,486484236
MOD308WL-L9GN3K___maytoni,277866251,486484256
020203___maytoni,277866264,486484296
O413WL-01BZ___maytoni,277866273,486484316
FR5104PL-08BS___maytoni,277866286,486484340
MOD091PL-05CH___maytoni,277866297,486484358
020210___maytoni,277866312,486484376
MOD070FL-L12B3K___maytoni,277866319,486484383
MIR009WL-L16CH4K___maytoni,277866330,486484399
MOD555PL-L26CH5K___maytoni,277866344,486484428
MOD315PL-L20CH3K___maytoni,277866376,486484465
10115___maytoni,277866393,486484482
10111___maytoni,277866402,486484499
10136___maytoni,277866411,486484512
CN014___maytoni,277866420,486484520
MOD027PL-01N___maytoni,277866425,486484525
10154___maytoni,277866444,486484569
O413FL-01GB___maytoni,277866449,486484577
MOD043TL-02G___maytoni,277866456,486484584
10137___maytoni,277866471,486484612
MOD043TL-02CH___maytoni,277866475,486484621
10123___maytoni,277866495,486484640
O419WL-01GR___maytoni,277866498,486484643
MRC004B___maytoni,277866507,486484657
FR5104PL-08N___maytoni,277866515,486484670
FR1007FL-01BS___maytoni,277866522,486484677
FR1006WL-01N___maytoni,277866530,486484687
FR4005PL-06B___maytoni,277866538,486484698
MOD313PL-04CH___maytoni,277866550,486484710
FR4005PL-03B___maytoni,277866567,486484742
020206___maytoni,277866588,486484770
ALM010S-2M___maytoni,277866605,486484793
10178___maytoni,277866613,486484806
FR4005PL-02B___maytoni,277866623,486484817
020216___maytoni,277866633,486484826
MOD308PL-L9CH3K___maytoni,277866644,486484838
10122___maytoni,277866664,486484872
MIR010WL-L12B4K___maytoni,277866675,486484886
10174___maytoni,277866707,486484924
O417WL-L4GR3K___maytoni,277866715,486484933
ALM006S-2M___maytoni,277866743,486484967
10131___maytoni,277866754,486484987
CN009___maytoni,277866757,486485007
10145___maytoni,277866763,486485012
10141___maytoni,277866768,486485016
FR5167PL-08BS___maytoni,277866772,486485020
FR4005PL-03B2___maytoni,277866781,486485035
020204___maytoni,277866787,486485042
O414WL-01BZ___maytoni,277866791,486485046
MOD309PL-L30GR4K___maytoni,277866803,486485060
10134___maytoni,277866837,486485124
MOD223WL-02BS1___maytoni,277866844,486485135
O419WL-02GR___maytoni,277866859,486485153
FR2027PL-03N___maytoni,277866876,486485175
MOD314WL-L13N3K___maytoni,277866885,486485185
O576FL-01B1___maytoni,277866898,486485197
ALM001S-2M___maytoni,277866922,486485238
MOD006FL-01N___maytoni,277866932,486485249
10181___maytoni,277866947,486485279
O576WL-02GR___maytoni,277866953,486485285
020202___maytoni,277866972,486485309
O413FL-03GB___maytoni,277866980,486485320
MOD043FL-08CH___maytoni,277866987,486485342
MIR012WL-L14B4K___maytoni,277867005,486485385
MOD070WL-L8W3K___maytoni,277867019,486485409
MOD317PL-06G___maytoni,277867033,486485429
10110___maytoni,277867047,486485451
020213___maytoni,277867052,486485463
MOD302WL-01CG___maytoni,277867056,486485469
MOD091PL-09CH___maytoni,277867069,486485487
FR1007PL-07BS___maytoni,277867080,486485504
MOD004WL-L5W3K1___maytoni,277867089,486485513
MOD314WL-L8N3K___maytoni,277867097,486485529
10152___maytoni,277867114,486485552
TRA004-21W___maytoni,277867121,486485570
MOD007PL-08G1___maytoni,277867132,486485586
DIA200PL-06G___maytoni,277867153,486485635
TRX004DR2-200S___maytoni,277867183,486485675
10113___maytoni,277867191,486485683
10127___maytoni,277867197,486485688
O413FL-03BZ___maytoni,277867201,486485692
O413FL-01BZ___maytoni,277867232,486485725
10177___maytoni,277867247,486485752
FR5167WL-02BS___maytoni,277867251,486485760
10143___maytoni,277867275,486485788
10180___maytoni,277867278,486485792
MOD091PL-05G___maytoni,277867283,486485796
O417WL-L6GR3K___maytoni,277867295,486485810
020205___maytoni,277867306,486485831
FR2027WL-01BS___maytoni,277867311,486485835
MOD302PL-01GR___maytoni,277867319,486485844
CN012___maytoni,277867329,486485859
10140___maytoni,277867335,486485864
10172___maytoni,277867339,486485870
FR2027WL-01N___maytoni,277867346,486485876
CN001___maytoni,277867355,486485887
FR1006TL-01N___maytoni,277867362,486485894
